h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
0.7,0.479411321,0.7,0.519426415,0.7,0.477584906,0.7,0.511969811
0.7,0.479411321,0.7,0.519426415,0.7,0.477584906,0.7,0.511969811
0.7,0.5124,0.7,0.6678,0.7,0.45644,0.7,0.5498
0.7,0.496036414,0.7,0.581518078,0.7,0.466299867,0.7,0.529759113
15000,0.075461053,15000,0.062661445,15000,0.079913659,15000,0.070411581
15000,0.077950414,15000,0.071958748,15000,0.078223892,15000,0.073075264
2.55,0.494913459,2.2,0.580229299,1.95,0.45587953,6.2,0.529258067
3.75,0.49433262,2.35,0.579671989,2.4,0.455266569,6.15,0.530568494
5.15,0.493713058,2.2,0.579184343,2.8,0.454694472,6.65,0.529913281
6.65,0.493170942,2.45,0.578627033,3.05,0.454122375,6.2,0.529643487
8.2,0.49255138,2.8,0.578104555,3.6,0.453550278,6.5,0.529219525
9.85,0.492009264,3.25,0.577582077,4.2,0.452937317,5.45,0.528602854
14.4,0.490421638,3.1,0.577024767,4.95,0.452406084,6.4,0.528294519
15.75,0.489840799,3.4,0.576502289,5.75,0.451915715,6.75,0.527947641
17.15,0.489221238,3.85,0.575979811,6.75,0.451302754,6.95,0.527253886
18.45,0.488717844,4.6,0.575492164,7.85,0.450730657,6.95,0.526675757
19.6,0.488175728,5.4,0.574934855,9,0.450240288,6.85,0.526174711
20.55,0.487633611,5.95,0.574447208,10.25,0.449668191,7.15,0.52575075
20.75,0.487091495,6.9,0.573959562,10.65,0.449096095,7.05,0.525288247
22.75,0.486045985,8.65,0.573437084,12.15,0.448564862,7.3,0.524979911
23.65,0.485503869,10.35,0.57298427,13.1,0.448033629,7.1,0.524555949
24.2,0.485000475,12.2,0.572531455,14.3,0.447502396,7.3,0.524093446
24.8,0.484535804,13.85,0.572008977,15.6,0.447012027,7.45,0.523746568
25.6,0.483954965,15.8,0.571556163,16.7,0.44643993,7.65,0.523592401
26.1,0.483490294,15.4,0.571103349,17.85,0.445908697,7.6,0.523168439
26.75,0.482948177,8.7,0.570580871,15.3,0.4453366,6.15,0.522744478
27.1,0.482406061,12.45,0.570128056,13.75,0.444723639,7.5,0.522281974
27.55,0.482018835,15.7,0.569570746,16.45,0.444192407,7.3,0.522166349
26.35,0.481476719,18,0.5690831,18.45,0.44362031,7.8,0.521665303
28,0.481012048,19.2,0.568560622,18.1,0.443129941,7.65,0.521434051
28.6,0.480508654,20.4,0.568107808,18.55,0.442639572,7.4,0.520855922
29.05,0.479966538,20.8,0.567654994,19.4,0.442108339,7.25,0.520470503
29.25,0.479346976,22,0.567202179,18.55,0.441577106,7.8,0.520200709
29.9,0.478882305,21.65,0.566679701,20.35,0.440964145,8.1,0.519930915
30.45,0.478301466,23.55,0.566192055,21.1,0.440351184,8.15,0.519738206
30,0.47775935,24.4,0.565634745,21.4,0.439738223,8.25,0.51923716
30.75,0.477217234,25.65,0.565147099,22.25,0.439166126,9.2,0.518928825
31.2,0.476675117,26.65,0.564624621,20.7,0.438512301,9.85,0.518504863
31.6,0.476171724,27.4,0.564102143,22.4,0.437981068,10.55,0.51823507
32,0.475629607,28,0.563579665,23.25,0.437368107,11.1,0.517926734
32.3,0.475126214,28.5,0.563092019,23.75,0.436836875,11.9,0.517502772
32.55,0.47462282,29.1,0.562569541,24.4,0.436264778,12.65,0.517387147
32.9,0.474158149,29.7,0.562116726,24.9,0.435733545,13.15,0.517001727
31.8,0.473616033,30.1,0.56162908,25.45,0.435202312,13.85,0.516963185
33.05,0.473112639,30.3,0.561176266,25.85,0.434671079,14.6,0.516307972
33.25,0.472647968,30.8,0.560723451,26.35,0.434139846,15.3,0.515884011
33.45,0.472183297,31.2,0.560235805,26.75,0.433567749,14.4,0.515729843
33.8,0.471679903,31.6,0.559782991,21.05,0.43307738,15.8,0.515305881
33.7,0.471215232,31.85,0.559330177,23.1,0.432546147,16.1,0.514997546
34,0.470711838,32.25,0.55884253,24.75,0.432055779,16.8,0.514727752
34.15,0.470247167,32.55,0.558424548,26.1,0.43156541,16.75,0.514419416
34.4,0.469782496,32.75,0.558006565,26.95,0.431115905,17.75,0.514111081
34.7,0.469356547,33.1,0.557518919,26.8,0.430625536,18.55,0.513764203
34.8,0.468891876,32.9,0.557100937,27.4,0.430094303,16.95,0.513378784
34.95,0.468427205,33.55,0.556682954,27.75,0.429644799,18.2,0.513186074
35.1,0.468001257,33.75,0.556299804,28.2,0.429195294,18.95,0.512839196
35.4,0.467110637,33.9,0.55584699,28.55,0.428664061,19.65,0.512453777
35.5,0.466684689,34.25,0.555429007,28.9,0.42825542,20.05,0.512183983
35.5,0.46625874,34.45,0.555011025,29.15,0.427805916,20.65,0.511837106
35.6,0.465794069,34.4,0.554627874,29.35,0.427356411,20.9,0.511567312
