h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
0.07,0.502883019,0.07,0.472649057,0.07,0.451290566,0.07,0.463758491,0.07,0.488150943,0.07,0.469615094,0.07,0.468603774,0.07,0.437207547
0.07,0.502883019,0.07,0.472649057,0.07,0.451290566,0.07,0.463758491,0.07,0.488150943,0.07,0.469615094,0.07,0.468603774,0.07,0.437207547
0.07,0.55208,0.07,0.53312,0.07,0.51604,0.07,0.49192,0.07,0.51248,0.07,0.48928,0.07,0.50312,0.07,0.46432
0.07,0.526192898,0.07,0.502720045,0.07,0.484658628,0.07,0.478446232,0.07,0.500307979,0.07,0.479843915,0.07,0.486333599,0.07,0.452063451
1500,0.325655827,1500,0.324712209,1500,0.313141056,1500,0.311163278,1500,0.329911892,1500,0.290170394,1500,0.311991186,1500,0.297246581
1500,0.341677111,1500,0.344347863,1500,0.333416762,1500,0.319926105,1500,0.337938337,1500,0.295876568,1500,0.322759945,1500,0.305305665
0.415,0.523981683,0.515,0.505247224,1.38,0.489279434,0.175,0.486966294,0.355,0.501245178,0.225,0.482040715,0.47,0.482157734,0.315,0.462889919
0.775,0.52325732,1.09,0.504643718,1.54,0.488715921,0.145,0.486538346,0.735,0.49952698,0.25,0.481413058,0.675,0.481152434,0.355,0.462383645
1.255,0.522799827,1.595,0.504040213,1.655,0.48811484,0.13,0.486032589,0.89,0.498863131,0.29,0.480706943,0.9,0.480379125,0.45,0.461799483
1.805,0.521999214,2.095,0.503248112,1.64,0.487476192,0.11,0.48560464,0.955,0.498238331,0.475,0.480118515,1.17,0.479605817,0.555,0.461332154
2.405,0.521236727,2.695,0.502757764,1.615,0.48706295,0.1,0.485176692,1.07,0.497691632,0.805,0.479608543,1.565,0.478716512,0.56,0.46082588
2.96,0.520626736,3.46,0.502116539,4.06,0.485973492,0.09,0.484709839,1.115,0.497144933,1.205,0.479059343,2.01,0.4780592,0.6,0.460319606
3.48,0.52005487,4.135,0.50166391,4.87,0.484959168,0.08,0.484242987,1.225,0.496559184,1.645,0.478470915,2.495,0.477324557,0.7,0.459852277
3.925,0.519483004,4.79,0.500947247,6.555,0.477032421,0.085,0.483620516,1.41,0.496051534,2.085,0.4780394,2.995,0.476705911,0.645,0.459384947
4.31,0.518911139,5.405,0.500645495,6.925,0.47598053,0.15,0.482881333,1.63,0.495465785,2.55,0.477607886,3.555,0.476087264,0.725,0.45903445
4.635,0.518263024,5.99,0.500041989,7.02,0.475867828,0.255,0.482025436,1.865,0.494919086,3.055,0.477097915,4.13,0.475623279,0.825,0.458645009
5.04,0.517805531,6.55,0.49958936,7.05,0.475154045,0.325,0.481208444,2.18,0.494528586,3.355,0.476587943,4.72,0.475004633,0.945,0.458216623
5.425,0.517348038,6.98,0.499212169,7.18,0.474740802,0.355,0.480585974,2.46,0.494020937,3.85,0.476038743,5.295,0.474501982,1.09,0.457827182
5.785,0.516852421,7.49,0.498684102,7.255,0.474177289,0.365,0.480002408,2.8,0.493552337,4.26,0.475607229,5.835,0.473999332,1.25,0.457437741
6.135,0.516394928,7.98,0.498269192,7.15,0.474327559,0.37,0.479263224,3.16,0.493083738,4.75,0.475136486,6.375,0.473496681,1.42,0.4570483
6.46,0.515861187,8.065,0.497816563,6.86,0.473613776,0.39,0.478679658,3.54,0.492576088,5.12,0.474783429,6.905,0.472994031,1.63,0.456736747
6.78,0.515403694,8.795,0.497288496,7.24,0.472749723,0.515,0.478057188,3.93,0.492380839,5.12,0.474351914,7.28,0.47241405,1.84,0.456425193
7.145,0.514946201,9.25,0.496986743,7.265,0.472674588,0.83,0.477590335,4.345,0.491834139,5.515,0.473841943,7.915,0.47198873,2.065,0.456035752
7.415,0.514526833,9.645,0.496496395,7.5,0.47218621,1.28,0.477162387,4.73,0.49136554,5.89,0.473606571,8.425,0.471563411,2.315,0.455685255
7.745,0.514145589,10.07,0.496043766,7.59,0.472148643,1.82,0.476501012,5.135,0.490896941,6.275,0.473057371,8.875,0.471022095,2.55,0.455373702
8.045,0.513649972,10.3,0.495704294,7.62,0.4717354,2.38,0.47603416,5.525,0.490506441,6.545,0.472704314,9.285,0.470635441,2.795,0.455023205
8.345,0.513192479,10.7,0.495251665,8.11,0.470533239,2.92,0.475606211,5.815,0.490115942,6.69,0.472468943,9.665,0.47013279,3.035,0.454711652
8.645,0.512811235,10.915,0.494949912,8.315,0.470119996,3.475,0.475139358,5.965,0.489881642,6.785,0.472115886,10.01,0.469784801,3.275,0.454361155
8.95,0.512391867,11.58,0.494648159,8.405,0.469744321,4.02,0.474594697,6.235,0.489569242,7.15,0.471919743,10.17,0.469398147,3.53,0.454049602
9.2,0.512086872,11.855,0.494308687,8.575,0.469406213,4.55,0.474244557,6.455,0.489373992,7.42,0.471488228,10.23,0.469127489,3.715,0.453854881
9.625,0.511743752,12.225,0.494082373,8.665,0.469030538,5.095,0.4737388,6.805,0.488905393,7.65,0.471370543,10.555,0.468779501,3.92,0.453543328
9.84,0.51155313,12.395,0.493856058,8.805,0.468617295,5.67,0.473271948,6.925,0.488671093,7.965,0.470860571,10.78,0.468508843,4.095,0.453348607
10.205,0.511324384,12.77,0.493554306,8.685,0.468617295,6.275,0.472843999,7.24,0.488358694,8.085,0.470664428,11.105,0.468083523,4.315,0.453075998
10.2,0.510866891,12.895,0.493252553,8.675,0.46824162,6.82,0.472454955,7.37,0.488124394,8.395,0.470389828,11.33,0.467812865,4.505,0.452842334
10.57,0.510561896,13.285,0.492875362,8.735,0.46779081,7.17,0.472027007,7.725,0.487694845,8.48,0.469997543,11.57,0.467426211,4.73,0.452569725
10.605,0.510295025,13.575,0.492573609,8.99,0.46764054,7.705,0.47152125,7.985,0.487343395,8.54,0.469683714,11.8,0.467232884,4.95,0.452375004
10.88,0.509951906,13.77,0.492234137,10.14,0.466438379,8.025,0.471404537,8.225,0.487109095,8.56,0.469409114,12.095,0.46684623,5.145,0.452063451
11.07,0.509761284,14.215,0.492045542,10.62,0.46354568,8.425,0.470976588,8.395,0.486796696,8.59,0.469212971,12.3,0.466536907,5.395,0.451790842
11.14,0.509341915,14.395,0.49170607,12.17,0.463132437,8.715,0.470704258,8.64,0.486523346,8.725,0.468820685,12.54,0.466266249,5.565,0.451557177
11.575,0.509151293,14.76,0.491479756,13.42,0.463057302,9.125,0.470393022,8.82,0.486210946,9.055,0.468506857,12.76,0.465956925,5.78,0.451323513
11.65,0.508770049,14.89,0.491064846,14.245,0.462681627,9.47,0.470081787,9.015,0.486015697,9.265,0.468349943,13,0.465647602,5.955,0.451167736
11.96,0.508465054,15.305,0.491027126,15.22,0.462268384,9.755,0.469731648,9.185,0.485508047,9.38,0.467957657,13.23,0.465338279,6.18,0.450895127
11.96,0.508121935,15.48,0.490574497,15.51,0.462230816,10.105,0.469420413,9.365,0.485273748,9.67,0.467683057,13.445,0.464951624,6.35,0.450700406
12.38,0.507969437,15.76,0.490310464,16.085,0.461967844,10.36,0.469070273,9.585,0.485000398,9.715,0.467447685,13.7,0.464642301,6.56,0.450466742
12.42,0.507550069,16.13,0.490084149,16.595,0.461629736,10.77,0.468759038,9.7,0.484727048,9.92,0.467173085,13.91,0.464448974,6.785,0.450233077
12.595,0.507321322,16.25,0.489744677,17.265,0.461216493,10.99,0.468447803,9.91,0.484492748,10.105,0.466976942,14.13,0.464139651,6.96,0.450038356
12.925,0.5071307,16.55,0.489556082,17.51,0.461178926,11.355,0.468136568,10.005,0.484258449,10.255,0.466584657,14.33,0.463946324,7.185,0.449726803
12.96,0.506749457,16.8,0.489292048,17.55,0.461028656,11.61,0.467747524,10.22,0.483906999,10.515,0.466388514,14.555,0.463559669,7.385,0.449571027
13.205,0.506673208,16.805,0.488990296,18.125,0.460465143,11.975,0.467475193,10.385,0.4836727,10.565,0.466035457,14.72,0.463289012,7.58,0.44941525
13.36,0.506291964,17.24,0.488763981,18.24,0.46020217,11.545,0.467125053,10.545,0.48339935,10.87,0.465839314,14.935,0.463018354,7.815,0.449142641
13.27,0.505948844,17.305,0.48838679,18.31,0.460164602,11.595,0.466813818,10.7,0.48316505,10.905,0.465525485,15.11,0.462747696,7.995,0.448947921
13.705,0.505834471,17.73,0.488273633,18.84,0.459713792,12.08,0.466580392,10.805,0.482813601,11.21,0.465250885,15.305,0.462554369,8.23,0.448675312
13.675,0.505453227,17.78,0.487934161,18.87,0.459187847,12.385,0.466230252,10.98,0.482579301,11.29,0.464976285,15.41,0.462245045,8.415,0.448519535
14,0.505376978,18.16,0.487707846,19.46,0.459037577,12.62,0.46603573,11.05,0.482266901,11.365,0.464662457,15.58,0.461935722,8.655,0.44828587
14,0.50495761,18.375,0.487368375,19.41,0.459150279,12.815,0.465724495,11.235,0.481915452,11.62,0.464466314,15.755,0.461665064,8.855,0.44809115
14.315,0.504766988,18.44,0.487179779,19.895,0.458661901,13.01,0.465529973,11.385,0.481759252,11.635,0.464230942,15.96,0.461471737,9.07,0.447896429
14.42,0.504461993,18.605,0.486878026,20.81,0.457459741,13.17,0.465102025,11.45,0.481485902,11.88,0.463956342,16.17,0.461123748,9.3,0.447662764
14.515,0.504195122,18.84,0.486651712,20.94,0.457384606,13.355,0.464907503,11.655,0.481173503,12.055,0.463760199,16.275,0.460891756,9.49,0.447545932
14.845,0.504156998,18.965,0.486387678,21.06,0.457234336,13.63,0.464596268,11.73,0.480978253,12.07,0.463446371,16.465,0.460737094,9.72,0.447312267
14.83,0.503661381,19.49,0.486199083,21.245,0.456670823,13.735,0.464401746,11.85,0.480743953,12.3,0.463132542,16.69,0.460389105,9.915,0.447078602
15.04,0.503585132,19.515,0.48589733,21.205,0.456520553,14.005,0.464051606,12.005,0.480431554,12.535,0.462936399,16.85,0.460195778,10.105,0.446922826
15.25,0.503280137,19.645,0.485671016,21.52,0.45580677,14.15,0.463740371,12.09,0.480197254,12.555,0.462622571,17.045,0.460002451,10.345,0.446689161
